common_name,scientific_name,region,file_type,habitat_distribution,entry_number,subcategory
White Tern,Gygis alba,South America,Geographic,Offshore,746,Family Laridae - Gulls & Terns
Sooty Tern,Onychoprion fuscatus,South America,Geographic,Offshore,747,Family Laridae - Gulls & Terns
Bridled Tern,Onychoprion anaethetus,South America,Geographic,Offshore,748,Family Laridae - Gulls & Terns
Yellow-billed Tern,Sternula superciliaris,South America,Geographic,Widespread,749,Family Laridae - Gulls & Terns
Peruvian Tern,Sternula lorata,South America,Geographic,Pacific coast,750,Family Laridae - Gulls & Terns
Least Tern,Sternula antillarum,South America,Geographic,Northern coasts,751,Family Laridae - Gulls & Terns
Large-billed Tern,Phaetusa simplex,South America,Geographic,Widespread,752,Family Laridae - Gulls & Terns
Gull-billed Tern,Gelochelidon nilotica,South America,Geographic,Widespread,753,Family Laridae - Gulls & Terns
Caspian Tern,Hydroprogne caspia,South America,Geographic,Widespread,754,Family Laridae - Gulls & Terns
Black Tern,Chlidonias niger,South America,Geographic,Migrant,755,Family Laridae - Gulls & Terns
White-winged Tern,Chlidonias leucopterus,South America,Geographic,Vagrant,756,Family Laridae - Gulls & Terns
Whiskered Tern,Chlidonias hybrida,South America,Geographic,Vagrant,757,Family Laridae - Gulls & Terns
Common Tern,Sterna hirundo,South America,Geographic,Migrant,758,Family Laridae - Gulls & Terns
Arctic Tern,Sterna paradisaea,South America,Geographic,Migrant,759,Family Laridae - Gulls & Terns
Roseate Tern,Sterna dougallii,South America,Geographic,Vagrant,760,Family Laridae - Gulls & Terns
Forster's Tern,Sterna forsteri,South America,Geographic,Vagrant,761,Family Laridae - Gulls & Terns
Snowy-crowned Tern,Sterna trudeaui,South America,Geographic,Southern South America,762,Family Laridae - Gulls & Terns
Royal Tern,Thalasseus maximus,South America,Geographic,Coasts,763,Family Laridae - Gulls & Terns
Great Crested Tern,Thalasseus bergii,South America,Geographic,Vagrant,764,Family Laridae - Gulls & Terns
Sandwich Tern,Thalasseus sandvicensis,South America,Geographic,Northern coasts,765,Family Laridae - Gulls & Terns
Elegant Tern,Thalasseus elegans,South America,Geographic,Pacific coast,766,Family Laridae - Gulls & Terns
Inca Tern,Larosterna inca,South America,Geographic,Pacific coast,767,Family Laridae - Gulls & Terns
Black Skimmer,Rynchops niger,South America,Geographic,Coasts,768,Family Laridae - Gulls & Terns
Red-billed Tropicbird,Phaethon aethereus,South America,Geographic,Pacific coast,769,Family Phaethontidae - Tropicbirds
White-tailed Tropicbird,Phaethon lepturus,South America,Geographic,Northern coasts,770,Family Phaethontidae - Tropicbirds
Red-tailed Tropicbird,Phaethon rubricauda,South America,Geographic,Pacific,771,Family Phaethontidae - Tropicbirds
Red-throated Loon,Gavia stellata,South America,Geographic,Vagrant,772,Family Gaviidae - Loons
Arctic Loon,Gavia arctica,South America,Geographic,Vagrant,773,Family Gaviidae - Loons
Pacific Loon,Gavia pacifica,South America,Geographic,Vagrant,774,Family Gaviidae - Loons
Common Loon,Gavia immer,South America,Geographic,Vagrant,775,Family Gaviidae - Loons
Yellow-billed Loon,Gavia adamsii,South America,Geographic,Vagrant,776,Family Gaviidae - Loons
Yellow-nosed Albatross,Thalassarche chlororhynchos,South America,Geographic,Offshore,777,Family Diomedeidae - Albatrosses
Shy Albatross,Thalassarche cauta,South America,Geographic,Offshore,778,Family Diomedeidae - Albatrosses
Salvin's Albatross,Thalassarche salvini,South America,Geographic,Offshore,779,Family Diomedeidae - Albatrosses
Black-browed Albatross,Thalassarche melanophris,South America,Geographic,Offshore,780,Family Diomedeidae - Albatrosses
Campbell Albatross,Thalassarche impavida,South America,Geographic,Offshore,781,Family Diomedeidae - Albatrosses
Buller's Albatross,Thalassarche bulleri,South America,Geographic,Offshore,782,Family Diomedeidae - Albatrosses
Gray-headed Albatross,Thalassarche chrysostoma,South America,Geographic,Offshore,783,Family Diomedeidae - Albatrosses
Sooty Albatross,Phoebetria fusca,South America,Geographic,Offshore,784,Family Diomedeidae - Albatrosses
Light-mantled Albatross,Phoebetria palpebrata,South America,Geographic,Offshore,785,Family Diomedeidae - Albatrosses
Wandering Albatross,Diomedea exulans,South America,Geographic,Offshore,786,Family Diomedeidae - Albatrosses
Antipodean Albatross,Diomedea antipodensis,South America,Geographic,Offshore,787,Family Diomedeidae - Albatrosses
Tristan Albatross,Diomedea dabbenena,South America,Geographic,Offshore,788,Family Diomedeidae - Albatrosses
Northern Royal Albatross,Diomedea sanfordi,South America,Geographic,Offshore,789,Family Diomedeidae - Albatrosses
Southern Royal Albatross,Diomedea epomophora,South America,Geographic,Offshore,790,Family Diomedeidae - Albatrosses
Southern Fulmar,Fulmarus glacialoides,South America,Geographic,Offshore,791,Family Procellariidae - Petrels & Shearwaters
Antarctic Petrel,Thalassoica antarctica,South America,Geographic,Offshore,792,Family Procellariidae - Petrels & Shearwaters
Cape Petrel,Daption capense,South America,Geographic,Offshore,793,Family Procellariidae - Petrels & Shearwaters
Snow Petrel,Pagodroma nivea,South America,Geographic,Offshore,794,Family Procellariidae - Petrels & Shearwaters
Kermadec Petrel,Pterodroma neglecta,South America,Geographic,Offshore,795,Family Procellariidae - Petrels & Shearwaters
Trindade Petrel,Pterodroma arminjoniana,South America,Geographic,Offshore,796,Family Procellariidae - Petrels & Shearwaters
Atlantic Petrel,Pterodroma incerta,South America,Geographic,Offshore,797,Family Procellariidae - Petrels & Shearwaters
Soft-plumaged Petrel,Pterodroma mollis,South America,Geographic,Offshore,798,Family Procellariidae - Petrels & Shearwaters
Fea's Petrel,Pterodroma feae,South America,Geographic,Offshore,799,Family Procellariidae - Petrels & Shearwaters
Zino's Petrel,Pterodroma madeira,South America,Geographic,Vagrant,800,Family Procellariidae - Petrels & Shearwaters
Bermuda Petrel,Pterodroma cahow,South America,Geographic,Vagrant,801,Family Procellariidae - Petrels & Shearwaters
Black-capped Petrel,Pterodroma hasitata,South America,Geographic,Vagrant,802,Family Procellariidae - Petrels & Shearwaters
Juan Fernandez Petrel,Pterodroma externa,South America,Geographic,Pacific,803,Family Procellariidae - Petrels & Shearwaters
Stejneger's Petrel,Pterodroma longirostris,South America,Geographic,Pacific,804,Family Procellariidae - Petrels & Shearwaters
Cook's Petrel,Pterodroma cookii,South America,Geographic,Pacific,805,Family Procellariidae - Petrels & Shearwaters
Gould's Petrel,Pterodroma leucoptera,South America,Geographic,Pacific,806,Family Procellariidae - Petrels & Shearwaters
Collared Petrel,Pterodroma brevipes,South America,Geographic,Pacific,807,Family Procellariidae - Petrels & Shearwaters
Providence Petrel,Pterodroma solandri,South America,Geographic,Pacific,808,Family Procellariidae - Petrels & Shearwaters
Great-winged Petrel,Pterodroma macroptera,South America,Geographic,Offshore,809,Family Procellariidae - Petrels & Shearwaters
White-headed Petrel,Pterodroma lessonii,South America,Geographic,Offshore,810,Family Procellariidae - Petrels & Shearwaters
Atlantic Petrel,Pterodroma atlantica,South America,Geographic,Offshore,811,Family Procellariidae - Petrels & Shearwaters
Blue Petrel,Halobaena caerulea,South America,Geographic,Offshore,812,Family Procellariidae - Petrels & Shearwaters
Broad-billed Prion,Pachyptila vittata,South America,Geographic,Offshore,813,Family Procellariidae - Petrels & Shearwaters
Salvin's Prion,Pachyptila salvini,South America,Geographic,Offshore,814,Family Procellariidae - Petrels & Shearwaters
Antarctic Prion,Pachyptila desolata,South America,Geographic,Offshore,815,Family Procellariidae - Petrels & Shearwaters
Slender-billed Prion,Pachyptila belcheri,South America,Geographic,Offshore,816,Family Procellariidae - Petrels & Shearwaters
Fairy Prion,Pachyptila turtur,South America,Geographic,Offshore,817,Family Procellariidae - Petrels & Shearwaters
Fulmar Prion,Pachyptila crassirostris,South America,Geographic,Offshore,818,Family Procellariidae - Petrels & Shearwaters
Bulwer's Petrel,Bulweria bulwerii,South America,Geographic,Offshore,819,Family Procellariidae - Petrels & Shearwaters
Jouanin's Petrel,Bulweria fallax,South America,Geographic,Vagrant,820,Family Procellariidae - Petrels & Shearwaters
White-chinned Petrel,Procellaria aequinoctialis,South America,Geographic,Offshore,821,Family Procellariidae - Petrels & Shearwaters
Spectacled Petrel,Procellaria conspicillata,South America,Geographic,Offshore,822,Family Procellariidae - Petrels & Shearwaters
Gray Petrel,Procellaria cinerea,South America,Geographic,Offshore,823,Family Procellariidae - Petrels & Shearwaters
Westland Petrel,Procellaria westlandica,South America,Geographic,Pacific,824,Family Procellariidae - Petrels & Shearwaters
Parkinson's Petrel,Procellaria parkinsoni,South America,Geographic,Pacific,825,Family Procellariidae - Petrels & Shearwaters
Streaked Shearwater,Calonectris leucomelas,South America,Geographic,Pacific,826,Family Procellariidae - Petrels & Shearwaters
Cory's Shearwater,Calonectris diomedea,South America,Geographic,Atlantic,827,Family Procellariidae - Petrels & Shearwaters
Cory's Shearwater,Calonectris borealis,South America,Geographic,Atlantic,828,Family Procellariidae - Petrels & Shearwaters
Cape Verde Shearwater,Calonectris edwardsii,South America,Geographic,Atlantic,829,Family Procellariidae - Petrels & Shearwaters
Wedge-tailed Shearwater,Ardenna pacifica,South America,Geographic,Pacific,830,Family Procellariidae - Petrels & Shearwaters
Buller's Shearwater,Ardenna bulleri,South America,Geographic,Pacific,831,Family Procellariidae - Petrels & Shearwaters
Flesh-footed Shearwater,Ardenna carneipes,South America,Geographic,Pacific,832,Family Procellariidae - Petrels & Shearwaters
Pink-footed Shearwater,Ardenna creatopus,South America,Geographic,Pacific,833,Family Procellariidae - Petrels & Shearwaters
Great Shearwater,Ardenna gravis,South America,Geographic,Atlantic,834,Family Procellariidae - Petrels & Shearwaters
Sooty Shearwater,Ardenna grisea,South America,Geographic,Offshore,835,Family Procellariidae - Petrels & Shearwaters
Short-tailed Shearwater,Ardenna tenuirostris,South America,Geographic,Pacific,836,Family Procellariidae - Petrels & Shearwaters
Manx Shearwater,Puffinus puffinus,South America,Geographic,Atlantic,837,Family Procellariidae - Petrels & Shearwaters
Balearic Shearwater,Puffinus mauretanicus,South America,Geographic,Atlantic,838,Family Procellariidae - Petrels & Shearwaters
Yelkouan Shearwater,Puffinus yelkouan,South America,Geographic,Vagrant,839,Family Procellariidae - Petrels & Shearwaters
Black-vented Shearwater,Puffinus opisthomelas,South America,Geographic,Pacific,840,Family Procellariidae - Petrels & Shearwaters
Christmas Shearwater,Puffinus nativitatis,South America,Geographic,Pacific,841,Family Procellariidae - Petrels & Shearwaters
Manx Shearwater,Puffinus puffinus,South America,Geographic,Atlantic,842,Family Procellariidae - Petrels & Shearwaters
Audubon's Shearwater,Puffinus lherminieri,South America,Geographic,Atlantic,843,Family Procellariidae - Petrels & Shearwaters
Galapagos Shearwater,Puffinus subalaris,South America,Geographic,Galapagos,844,Family Procellariidae - Petrels & Shearwaters
European Storm-Petrel,Hydrobates pelagicus,South America,Geographic,Atlantic,845,Family Hydrobatidae - Northern Storm-Petrels
Leach's Storm-Petrel,Hydrobates leucorhous,South America,Geographic,Offshore,846,Family Hydrobatidae - Northern Storm-Petrels
Band-rumped Storm-Petrel,Hydrobates castro,South America,Geographic,Atlantic,847,Family Hydrobatidae - Northern Storm-Petrels
Matsudaira's Storm-Petrel,Hydrobates matsudairae,South America,Geographic,Pacific,848,Family Hydrobatidae - Northern Storm-Petrels
Wilson's Storm-Petrel,Oceanites oceanicus,South America,Geographic,Offshore,849,Family Oceanitidae - Southern Storm-Petrels
White-vented Storm-Petrel,Oceanites gracilis,South America,Geographic,Pacific,850,Family Oceanitidae - Southern Storm-Petrels
Gray-backed Storm-Petrel,Garrodia nereis,South America,Geographic,Offshore,851,Family Oceanitidae - Southern Storm-Petrels
White-faced Storm-Petrel,Pelagodroma marina,South America,Geographic,Offshore,852,Family Oceanitidae - Southern Storm-Petrels
Black-bellied Storm-Petrel,Fregetta tropica,South America,Geographic,Offshore,853,Family Oceanitidae - Southern Storm-Petrels
White-bellied Storm-Petrel,Fregetta grallaria,South America,Geographic,Offshore,854,Family Oceanitidae - Southern Storm-Petrels
Polynesian Storm-Petrel,Nesofregetta fuliginosa,South America,Geographic,Pacific,855,Family Oceanitidae - Southern Storm-Petrels
African Penguin,Spheniscus demersus,South America,Geographic,Vagrant,856,Family Spheniscidae - Penguins
Humboldt Penguin,Spheniscus humboldti,South America,Geographic,Pacific coast,857,Family Spheniscidae - Penguins
Magellanic Penguin,Spheniscus magellanicus,South America,Geographic,Patagonian coasts,858,Family Spheniscidae - Penguins
Galapagos Penguin,Spheniscus mendiculus,South America,Geographic,Galapagos,859,Family Spheniscidae - Penguins
Gentoo Penguin,Pygoscelis papua,South America,Geographic,Subantarctic,860,Family Spheniscidae - Penguins
Adelie Penguin,Pygoscelis adeliae,South America,Geographic,Antarctic,861,Family Spheniscidae - Penguins
Chinstrap Penguin,Pygoscelis antarcticus,South America,Geographic,Antarctic,862,Family Spheniscidae - Penguins
Southern Rockhopper Penguin,Eudyptes chrysocome,South America,Geographic,Subantarctic,863,Family Spheniscidae - Penguins
Northern Rockhopper Penguin,Eudyptes moseleyi,South America,Geographic,Subantarctic,864,Family Spheniscidae - Penguins
Eastern Rockhopper Penguin,Eudyptes filholi,South America,Geographic,Subantarctic,865,Family Spheniscidae - Penguins
Fiordland Penguin,Eudyptes pachyrhynchus,South America,Geographic,Vagrant,866,Family Spheniscidae - Penguins
Snares Penguin,Eudyptes robustus,South America,Geographic,Vagrant,867,Family Spheniscidae - Penguins
Erect-crested Penguin,Eudyptes sclateri,South America,Geographic,Vagrant,868,Family Spheniscidae - Penguins
Macaroni Penguin,Eudyptes chrysolophus,South America,Geographic,Subantarctic,869,Family Spheniscidae - Penguins
Royal Penguin,Eudyptes schlegeli,South America,Geographic,Subantarctic,870,Family Spheniscidae - Penguins
Yellow-eyed Penguin,Megadyptes antipodes,South America,Geographic,Vagrant,871,Family Spheniscidae - Penguins
Little Penguin,Eudyptula minor,South America,Geographic,Vagrant,872,Family Spheniscidae - Penguins
King Penguin,Aptenodytes patagonicus,South America,Geographic,Subantarctic,873,Family Spheniscidae - Penguins
Emperor Penguin,Aptenodytes forsteri,South America,Geographic,Antarctic,874,Family Spheniscidae - Penguins
Maguari Stork,Ciconia maguari,South America,Geographic,Widespread,875,Family Ciconiidae - Storks
Jabiru,Jabiru mycteria,South America,Geographic,Widespread,876,Family Ciconiidae - Storks
Wood Stork,Mycteria americana,South America,Geographic,Widespread,877,Family Ciconiidae - Storks
Magnificent Frigatebird,Fregata magnificens,South America,Geographic,Northern coasts,878,Family Fregatidae - Frigatebirds
Great Frigatebird,Fregata minor,South America,Geographic,Northern coasts,879,Family Fregatidae - Frigatebirds
Blue-footed Booby,Sula nebouxii,South America,Geographic,Pacific coast,880,Family Sulidae - Gannets & Boobies
Peruvian Booby,Sula variegata,South America,Geographic,Pacific coast,881,Family Sulidae - Gannets & Boobies
Brown Booby,Sula leucogaster,South America,Geographic,Coasts,882,Family Sulidae - Gannets & Boobies
Red-footed Booby,Sula sula,South America,Geographic,Offshore,883,Family Sulidae - Gannets & Boobies
Masked Booby,Sula dactylatra,South America,Geographic,Offshore,884,Family Sulidae - Gannets & Boobies
Nazca Booby,Sula granti,South America,Geographic,Pacific coast,885,Family Sulidae - Gannets & Boobies
Northern Gannet,Morus bassanus,South America,Geographic,Atlantic coast,886,Family Sulidae - Gannets & Boobies
Cape Gannet,Morus capensis,South America,Geographic,Vagrant,887,Family Sulidae - Gannets & Boobies
Australasian Gannet,Morus serrator,South America,Geographic,Vagrant,888,Family Sulidae - Gannets & Boobies
Anhinga,Anhinga anhinga,South America,Geographic,Widespread,889,Family Anhingidae - Anhingas
Pygmy Cormorant,Microcarbo pygmeus,South America,Geographic,Vagrant,890,Family Phalacrocoracidae - Cormorants
Neotropic Cormorant,Phalacrocorax brasilianus,South America,Geographic,Widespread,891,Family Phalacrocoracidae - Cormorants
Double-crested Cormorant,Phalacrocorax auritus,South America,Geographic,Northern South America,892,Family Phalacrocoracidae - Cormorants
Guanay Cormorant,Phalacrocorax bougainvillii,South America,Geographic,Pacific coast,893,Family Phalacrocoracidae - Cormorants
Rock Shag,Phalacrocorax magellanicus,South America,Geographic,Patagonian coasts,894,Family Phalacrocoracidae - Cormorants
Imperial Shag,Phalacrocorax atriceps,South America,Geographic,Patagonian coasts,895,Family Phalacrocoracidae - Cormorants
South Georgia Shag,Phalacrocorax georgianus,South America,Geographic,Subantarctic,896,Family Phalacrocoracidae - Cormorants
Antarctic Shag,Phalacrocorax bransfieldensis,South America,Geographic,Antarctic Peninsula,897,Family Phalacrocoracidae - Cormorants
Kerguelen Shag,Phalacrocorax verrucosus,South America,Geographic,Subantarctic,898,Family Phalacrocoracidae - Cormorants
Great Cormorant,Phalacrocorax carbo,South America,Geographic,Vagrant,899,Family Phalacrocoracidae - Cormorants
American White Pelican,Pelecanus erythrorhynchos,South America,Geographic,Vagrant,900,Family Pelecanidae - Pelicans
Brown Pelican,Pelecanus occidentalis,South America,Geographic,Coasts,901,Family Pelecanidae - Pelicans
Peruvian Pelican,Pelecanus thagus,South America,Geographic,Pacific coast,902,Family Pelecanidae - Pelicans
Bare-throated Tiger-Heron,Tigrisoma mexicanum,South America,Geographic,Northern South America,903,"Family Ardeidae - Herons, Egrets & Bitterns"
Fasciated Tiger-Heron,Tigrisoma fasciatum,South America,Geographic,Widespread,904,"Family Ardeidae - Herons, Egrets & Bitterns"
Rufescent Tiger-Heron,Tigrisoma lineatum,South America,Geographic,Widespread,905,"Family Ardeidae - Herons, Egrets & Bitterns"
Boat-billed Heron,Cochlearius cochlearius,South America,Geographic,Northern South America,906,"Family Ardeidae - Herons, Egrets & Bitterns"
Zigzag Heron,Zebrilus undulatus,South America,Geographic,Amazon Basin,907,"Family Ardeidae - Herons, Egrets & Bitterns"
Pinnated Bittern,Botaurus pinnatus,South America,Geographic,Widespread,908,"Family Ardeidae - Herons, Egrets & Bitterns"
Least Bittern,Ixobrychus exilis,South America,Geographic,Widespread,909,"Family Ardeidae - Herons, Egrets & Bitterns"
Stripe-backed Bittern,Ixobrychus involucris,South America,Geographic,Widespread,910,"Family Ardeidae - Herons, Egrets & Bitterns"
Black-crowned Night-Heron,Nycticorax nycticorax,South America,Geographic,Widespread,911,"Family Ardeidae - Herons, Egrets & Bitterns"
Yellow-crowned Night-Heron,Nyctanassa violacea,South America,Geographic,Northern South America,912,"Family Ardeidae - Herons, Egrets & Bitterns"
Striated Heron,Butorides striata,South America,Geographic,Widespread,913,"Family Ardeidae - Herons, Egrets & Bitterns"
Galapagos Heron,Butorides sundevalli,South America,Geographic,Galapagos,914,"Family Ardeidae - Herons, Egrets & Bitterns"
Agami Heron,Agamia agami,South America,Geographic,Amazon Basin,915,"Family Ardeidae - Herons, Egrets & Bitterns"
Capped Heron,Pilherodius pileatus,South America,Geographic,Amazon Basin,916,"Family Ardeidae - Herons, Egrets & Bitterns"
Whistling Heron,Syrigma sibilatrix,South America,Geographic,Widespread,917,"Family Ardeidae - Herons, Egrets & Bitterns"
Reddish Egret,Egretta rufescens,South America,Geographic,Northern coasts,918,"Family Ardeidae - Herons, Egrets & Bitterns"
Tricolored Heron,Egretta tricolor,South America,Geographic,Widespread,919,"Family Ardeidae - Herons, Egrets & Bitterns"
Little Blue Heron,Egretta caerulea,South America,Geographic,Widespread,920,"Family Ardeidae - Herons, Egrets & Bitterns"
Snowy Egret,Egretta thula,South America,Geographic,Widespread,921,"Family Ardeidae - Herons, Egrets & Bitterns"
Little Egret,Egretta garzetta,South America,Geographic,Vagrant,922,"Family Ardeidae - Herons, Egrets & Bitterns"
Western Reef-Heron,Egretta gularis,South America,Geographic,Vagrant,923,"Family Ardeidae - Herons, Egrets & Bitterns"
Cattle Egret,Bubulcus ibis,South America,Geographic,Widespread,924,"Family Ardeidae - Herons, Egrets & Bitterns"
Great Blue Heron,Ardea herodias,South America,Geographic,Northern South America,925,"Family Ardeidae - Herons, Egrets & Bitterns"
Cocoi Heron,Ardea cocoi,South America,Geographic,Widespread,926,"Family Ardeidae - Herons, Egrets & Bitterns"
Great Egret,Ardea alba,South America,Geographic,Widespread,927,"Family Ardeidae - Herons, Egrets & Bitterns"
Intermediate Egret,Ardea intermedia,South America,Geographic,Vagrant,928,"Family Ardeidae - Herons, Egrets & Bitterns"
Purple Heron,Ardea purpurea,South America,Geographic,Vagrant,929,"Family Ardeidae - Herons, Egrets & Bitterns"
Gray Heron,Ardea cinerea,South America,Geographic,Vagrant,930,"Family Ardeidae - Herons, Egrets & Bitterns"
White Ibis,Eudocimus albus,South America,Geographic,Northern South America,931,Family Threskiornithidae - Ibises & Spoonbills
Scarlet Ibis,Eudocimus ruber,South America,Geographic,Northern South America,932,Family Threskiornithidae - Ibises & Spoonbills
Glossy Ibis,Plegadis falcinellus,South America,Geographic,Widespread,933,Family Threskiornithidae - Ibises & Spoonbills
White-faced Ibis,Plegadis chihi,South America,Geographic,Widespread,934,Family Threskiornithidae - Ibises & Spoonbills
Puna Ibis,Plegadis ridgwayi,South America,Geographic,High Andes,935,Family Threskiornithidae - Ibises & Spoonbills
Sharp-tailed Ibis,Cercibis oxycerca,South America,Geographic,Amazon Basin,936,Family Threskiornithidae - Ibises & Spoonbills
Whispering Ibis,Phimosus infuscatus,South America,Geographic,Widespread,937,Family Threskiornithidae - Ibises & Spoonbills
Plumbeous Ibis,Theristicus caerulescens,South America,Geographic,Widespread,938,Family Threskiornithidae - Ibises & Spoonbills
Buff-necked Ibis,Theristicus caudatus,South America,Geographic,Widespread,939,Family Threskiornithidae - Ibises & Spoonbills
Black-faced Ibis,Theristicus melanopis,South America,Geographic,"Andes, Patagonia",940,Family Threskiornithidae - Ibises & Spoonbills
Hadada Ibis,Bostrychia hagedash,South America,Geographic,Vagrant,941,Family Threskiornithidae - Ibises & Spoonbills
Northern Bald Ibis,Geronticus eremita,South America,Geographic,Vagrant,942,Family Threskiornithidae - Ibises & Spoonbills
Madagascar Crested Ibis,Lophotibis cristata,South America,Geographic,Vagrant,943,Family Threskiornithidae - Ibises & Spoonbills
Sacred Ibis,Threskiornis aethiopicus,South America,Geographic,Vagrant,944,Family Threskiornithidae - Ibises & Spoonbills
Red-naped Ibis,Pseudibis papillosa,South America,Geographic,Vagrant,945,Family Threskiornithidae - Ibises & Spoonbills
Crested Ibis,Nipponia nippon,South America,Geographic,Vagrant,946,Family Threskiornithidae - Ibises & Spoonbills
Eurasian Spoonbill,Platalea leucorodia,South America,Geographic,Vagrant,947,Family Threskiornithidae - Ibises & Spoonbills
Roseate Spoonbill,Platalea ajaja,South America,Geographic,Widespread,948,Family Threskiornithidae - Ibises & Spoonbills
Turkey Vulture,Cathartes aura,South America,Geographic,Widespread,949,Family Cathartidae - New World Vultures
Lesser Yellow-headed Vulture,Cathartes burrovianus,South America,Geographic,Northern South America,950,Family Cathartidae - New World Vultures
Greater Yellow-headed Vulture,Cathartes melambrotus,South America,Geographic,Amazon Basin,951,Family Cathartidae - New World Vultures
Black Vulture,Coragyps atratus,South America,Geographic,Widespread,952,Family Cathartidae - New World Vultures
King Vulture,Sarcoramphus papa,South America,Geographic,Widespread,953,Family Cathartidae - New World Vultures
Andean Condor,Vultur gryphus,South America,Geographic,Andes,954,Family Cathartidae - New World Vultures
California Condor,Gymnogyps californianus,South America,Geographic,"Extinct in wild, reintroduced",955,Family Cathartidae - New World Vultures
Osprey,Pandion haliaetus,South America,Geographic,Widespread,956,Family Pandionidae - Osprey
Gray-headed Kite,Leptodon cayanensis,South America,Geographic,Widespread,957,"Family Accipitridae - Hawks, Eagles & Kites"
White-collared Kite,Leptodon forbesi,South America,Geographic,Atlantic Forest,958,"Family Accipitridae - Hawks, Eagles & Kites"
Hook-billed Kite,Chondrohierax uncinatus,South America,Geographic,Widespread,959,"Family Accipitridae - Hawks, Eagles & Kites"
Oriental Honey-buzzard,Pernis ptilorhynchus,South America,Geographic,Vagrant,960,"Family Accipitridae - Hawks, Eagles & Kites"
Swallow-tailed Kite,Elanoides forficatus,South America,Geographic,Widespread,961,"Family Accipitridae - Hawks, Eagles & Kites"
Pearl Kite,Gampsonyx swainsonii,South America,Geographic,Northern South America,962,"Family Accipitridae - Hawks, Eagles & Kites"
White-tailed Kite,Elanus leucurus,South America,Geographic,Widespread,963,"Family Accipitridae - Hawks, Eagles & Kites"
Black-winged Kite,Elanus caeruleus,South America,Geographic,Vagrant,964,"Family Accipitridae - Hawks, Eagles & Kites"
Cinereous Harrier,Circus cinereus,South America,Geographic,Southern South America,965,"Family Accipitridae - Hawks, Eagles & Kites"
Long-winged Harrier,Circus buffoni,South America,Geographic,Widespread,966,"Family Accipitridae - Hawks, Eagles & Kites"
Northern Harrier,Circus hudsonius,South America,Geographic,Migrant,967,"Family Accipitridae - Hawks, Eagles & Kites"
Hen Harrier,Circus cyaneus,South America,Geographic,Vagrant,968,"Family Accipitridae - Hawks, Eagles & Kites"
Swamp Harrier,Circus approximans,South America,Geographic,Vagrant,969,"Family Accipitridae - Hawks, Eagles & Kites"
Gray-bellied Goshawk,Accipiter poliogaster,South America,Geographic,Amazon Basin,970,"Family Accipitridae - Hawks, Eagles & Kites"
Tiny Hawk,Accipiter superciliosus,South America,Geographic,Widespread,971,"Family Accipitridae - Hawks, Eagles & Kites"
Semicollared Hawk,Accipiter collaris,South America,Geographic,Andes,972,"Family Accipitridae - Hawks, Eagles & Kites"
Cooper's Hawk,Accipiter cooperii,South America,Geographic,Vagrant,973,"Family Accipitridae - Hawks, Eagles & Kites"
Sharp-shinned Hawk,Accipiter striatus,South America,Geographic,Migrant,974,"Family Accipitridae - Hawks, Eagles & Kites"
Bicolored Hawk,Accipiter bicolor,South America,Geographic,Widespread,975,"Family Accipitridae - Hawks, Eagles & Kites"
Northern Goshawk,Accipiter gentilis,South America,Geographic,Vagrant,976,"Family Accipitridae - Hawks, Eagles & Kites"
Crane Hawk,Geranospiza caerulescens,South America,Geographic,Widespread,977,"Family Accipitridae - Hawks, Eagles & Kites"
Plumbeous Hawk,Cryptoleucopteryx plumbea,South America,Geographic,Amazon Basin,978,"Family Accipitridae - Hawks, Eagles & Kites"
Plumbeous Kite,Ictinia plumbea,South America,Geographic,Widespread,979,"Family Accipitridae - Hawks, Eagles & Kites"
Mississippi Kite,Ictinia mississippiensis,South America,Geographic,Migrant,980,"Family Accipitridae - Hawks, Eagles & Kites"
Snail Kite,Rostrhamus sociabilis,South America,Geographic,Widespread,981,"Family Accipitridae - Hawks, Eagles & Kites"
Slender-billed Kite,Rostrhamus hamatus,South America,Geographic,Amazon Basin,982,"Family Accipitridae - Hawks, Eagles & Kites"
Slender-billed Kite,Helicolestes hamatus,South America,Geographic,Amazon Basin,983,"Family Accipitridae - Hawks, Eagles & Kites"
Double-toothed Kite,Harpagus bidentatus,South America,Geographic,Widespread,984,"Family Accipitridae - Hawks, Eagles & Kites"
Rufous-thighed Kite,Harpagus diodon,South America,Geographic,Amazon Basin,985,"Family Accipitridae - Hawks, Eagles & Kites"
Common Black Hawk,Buteogallus anthracinus,South America,Geographic,Northern South America,986,"Family Accipitridae - Hawks, Eagles & Kites"
Great Black Hawk,Buteogallus urubitinga,South America,Geographic,Widespread,987,"Family Accipitridae - Hawks, Eagles & Kites"
Crowned Eagle,Buteogallus coronatus,South America,Geographic,Widespread,988,"Family Accipitridae - Hawks, Eagles & Kites"
Savanna Hawk,Buteogallus meridionalis,South America,Geographic,Widespread,989,"Family Accipitridae - Hawks, Eagles & Kites"
Rufous Crab Hawk,Buteogallus aequinoctialis,South America,Geographic,Coastal northern,990,"Family Accipitridae - Hawks, Eagles & Kites"
Mangrove Black Hawk,Buteogallus subtilis,South America,Geographic,Pacific coast,991,"Family Accipitridae - Hawks, Eagles & Kites"
Slate-colored Hawk,Buteogallus schistaceus,South America,Geographic,Amazon Basin,992,"Family Accipitridae - Hawks, Eagles & Kites"
